Annotator,ACLED/GDELT,Index,Time,Country,Actor 1,Actor 2,Article Url,Event Description,Is the event relevant?,"Why is the event NOT relevant? 
(if applicable)",tribal/communal/ethnic conflict,religious conflict,socio-political violence against women,climate-related security risks,Other,train_dev_test_split
A2,ACLED,KEN6480,2017-03-17,Kenya,Government of Kenya (2013-2022); Military Forces of Kenya (2013-2022),,,Kenya's president deployed the military to quell violence related to drought.,Yes,,,,,X,,test
A2,ACLED,SOM22430,2017-04-16,Somalia,Unidentified Armed Group (Somalia),Civilians (Somalia); Women (Somalia),,"AM, Mogadishu: a nine-year old girl was kidnapped by unidentified gunmen in Mogadishu, location within the city not known.",Yes,,,,,,X,test
A2,GDELT,946701318,20200915,Kenya,CRIMINAL,CRIMINAL,https://nation.africa/kenya/counties/nairobi/scars-gangs-criminal-underworld-nairobi-s-eastlands-2016876,"On July 19, a gang of teenagers reigned terror in Nairobi’s Kayole estate, leaving in their wake broken arms and neighbours cowering in their dwellings.
A band of violent and ruthless thugs that kill at the slightest provocation, they were on a rescue-cum-revenge mission following the capture of their leader after an earlier raid.
“Humanity isn’t in their system; blood is nothing to them. I should be dead. I don’t know how I survived. I thank God, it’s a miracle,” recalls Samir Oloo, one of the victims who was only saved by the quick action of a Good Samaritan.
Every time he stares at the scars on his body, events of the fateful day painfully replay in his mind.
“They stabbed me multiple times. They broke my arms; I had internal bleeding. I’ve been on medication ever since,” recounts the father of three.",Yes,,,,,,X,train
A2,GDELT,1099012876,20230429,Sudan,,CHRISTIAN,https://www.christianpost.com/news/us-begins-evacuation-of-americans-from-sudan-amid-deadly-fighting.html,"Home News US evacuates Americans from Sudan after being accused of stranding its citizens
As deadly fighting between the Sudanese army and paramilitary forces continues, the U.S. government has begun land evacuations of American citizens in the African country after receiving scrutiny this week for not doing so sooner.
A day after White House Press Secretary Karine Jean-Pierre urged Americans in Sudan to leave the country within 24 to 48 hours, a convoy of buses carried as many as 300 Americans out of war-torn Khartoum on Friday. There are an estimated 16,000 American citizens in Sudan, though most have not asked to leave the country.
Sources told The New York Times that the 300 Americans were on a 525-mile journey to the Red Sea's Port Sudan.
Before Friday's announcement, the Biden administration was criticized for failing to evacuate its citizens like other countries and the United Nations were doing so. The United Kingdom government has evacuated over 1,500 people, most of whom were British nationals, since Tuesday.",No,2. Not violence / conflict related,,,,,,test
A2,ACLED,SUD25270,2024-01-07,Sudan,Unidentified Armed Group (Sudan),Civilians (Sudan); Women (Sudan),,"Around 7 January 2024 (as reported), a sniper (unclear if he was SAF or RSF) shot and killed a girl at unspecified location in Omdurman (location coded to Omdurman, Khartoum).",Yes,,,,,,X,test
A2,GDELT,1080280158,20230115,Sudan,INDIGENOUS,,https://www.dabangasudan.org/en/all-news/article/delegation-of-darfur-lawyers-to-visit-blue-nile-region,"KHARTOUM / EL ROZEIRES / WAD EL MAHI –
The Darfur Bar Association (DBA) has announced that it will send a delegation to the Blue Nile region* this week to visit those affected by the violence that broke out in July last year. The Darfur lawyers said in a press statement on Friday that the visit aims to achieve sufficient knowledge of the causes of the conflicts in the region so that the association’s contribution is positive in reducing them and in applying the provisions of the law.
The DBA referred to a visit by lawyers Khidir Abakir Suliman and Alish Hammouda from the Blue Nile region to the DBA office in Khartoum on Thursday. The lawyers spoke about the continued attacks against people living south of El Roseires and in Wad El Mahi in the absence of the rule of law and the authorities’ disregard of their responsibilities towards the people in these areas.
In mid-July 2022, fighting in Wad El Mahi, south-east of El Roseires, erupted when indigenous El Funj, El Hamaj, Berta and other tribesmen attacked Hausa** families in the area.
The violence, allegedly triggered by political motives, flared up again in September. In October, new, fierce attacks took place in Wad El Mahi. More than 200 people have died so far. Thousands have been displaced.",No,3. A summary of different situations,,,,,,test
A2,GDELT,956303165,20201125,Ethiopia,AMHARA,GOVERNMENT,https://www.aljazeera.com/opinions/2020/11/25/how-abiy-ahmeds-ethiopia-first-nationalism-led-to-civil-war/,"Earlier this month, a simmering political and ideological conflict between Ethiopia’s federal government and the northern region of Tigray escalated into a deadly civil war that is threatening to destabilise an already fragile and volatile region.
On November 4, Ethiopia’s Prime Minister Abiy Ahmed announced military attacks against the Tigray region, which borders Eritrea and Sudan, and its governing party, the Tigray People’s Liberation Front (TPLF). The prime minister, who positioned himself as a reformer and peacemaker since taking office in 2018, and won the 2019 Nobel Peace Prize for clinching a long-awaited peace deal between his country and Eritrea, declared an all-out war on a regional government as a means to settle an ideological and political difference.
The war in Tigray is a continuation of the violent and widespread repression Abiy began in Oromia, Walaita and Sidama against those who resisted his vision of the future. After silencing dissent and opposition elsewhere in the country, Abiy and his camp are turning to Tigray, the last frontier in the battle over the character of the Ethiopian state.
Tigray presents a significant challenge to the prime minister’s grandiose vision of “Making Ethiopia Great Again” (MEGA). In addition to being an autonomous region with effective control over its territories, it is a battle-hardened region with highly trained troops and access to much of Ethiopia’s military arsenal.
Although Abiy’s government is scrambling to convince the world that this is a law enforcement operation with limited and achievable objectives, the fierce battles fought over the last few weeks involving fighter jets, tanks, and armoured personnel carriers make it evident that the country is in the midst of what is likely to be an intractable military deadlock that would result in a large number of casualties.",No,3. A summary of different situations,,,,,,dev
A2,ACLED,ETH5332,2019-10-24,Ethiopia,Rioters (Ethiopia); Qeerroo Youth Militia,Civilians (Ethiopia); Orthodox Christian Group (Ethiopia); Amhara Ethnic Group (Ethiopia),,"On 24 October 2019, 4 people were killed and an unknown number of houses burned during demonstrations and clashes in Dodola town (West Arsi, Oromia). Riots were sparked across Oromiya region when popular activist Jawar Mohammed claimed that someone in the government had tried to assassinate or arrest him. This is the second day of demonstrations in the city of Dodola. Those killed in Dodola were ethnic Amhara, and Orthodox Christians who were attacked in homes, cars, and in the street.",Yes,,X,,,,,train
A2,ACLED,SSD7089,2020-10-05,South Sudan,Unidentified Armed Group (South Sudan),Civilians (South Sudan); Aid Workers (South Sudan); WFP: World Food Programme,,"On 5 October 2020, a World Food Programme river convoy transporting food for flood victims in northern areas of the country was attacked near Shambe (Lakes state) by an unknown group. One cargo boat was sunk, with three crew members sustaining gunshot wounds, and one missing, and presumed dead.",Yes,,,,,X,,test
A2,GDELT,1098089607,20230425,Sudan;South Sudan,UNHCR,SOUTH SUDAN,https://in-cyprus.philenews.com/news/international/hundreds-of-thousands-may-flee-sudan-fighting-un-says/,"The U.N. refugee agency (UNHCR) is making plans for hundreds of thousands of people spilling over Sudan’s borders to escape violence, officials said on Tuesday, many of them forced to places they have already fled from.
UNHCR officials told a Geneva briefing they are poised for 270,000 people to flee over Sudan’s borders – a preliminary planning figure that includes Sudanese refugees crossing into South Sudan and Chad as well as South Sudanese returning home.
The estimate so far only covers two of Sudan’s seven neighbours as projections for Egypt, Eritrea, Ethiopia, Central African Republic and Libya are not yet ready.
Sudan hosts more than 1 million refugees, many of whom have fled conflicts in neighbouring countries such as South Sudan. In addition, 3.7 million of its own people are internally displaced, U.N. data shows.
The UNHCR representative in South Sudan, Marie-Hélène Verney, said the agency was planning for 125,000 South Sudanese refugees temporarily residing in Sudan to return home and for some 45,000 new Sudanese refugees to cross into South Sudan.",No,3. A summary of different situations,,,,,,train
A2,ACLED,SOM23796,2017-09-18,Somalia,Rioters (Somalia); Refugees/IDPs (Somalia); Aid Workers (Somalia),,,"Residents in Ainabo staged a peaceful demonstration against the local administration whom they accused of diverting humanitarian assistance received from humanitarian agencies and the Government of Somaliland. Residents, mainly those who became IDPs during the recent droughts, walked through the main roads of Ainabo and disrupted traffic movements. There were two main temporary IDPs camps in Ainabo which host about 2000 people that depend on humanitarian assistance from agencies. There were no reports of casualties.",Yes,,,,,X,,train
A2,ACLED,SOM21769,2017-01-21,Somalia,Habar Jeclo Clan Militia (Somalia); Pastoralists (Somalia),Civilians (International); Civilians (China),,"On 22 January 2017, armed Habar-Jaclo herders reportedly fired at a foreigner working for a Chinese oil exploration in the vicinity of Widhiidh over competition over natural resources. Status of target not known.",Yes,,,,,,X,test
A2,GDELT,985311982,20210517,South Sudan,RESIDENTS,,https://reliefweb.int/report/south-sudan/communities-lowoi-eastern-equatoria-tell-unmiss-peacekeepers-food-assistance,"SAMIRA Y. SALIFU
“We have all had properties and farmlands destroyed during seasonal movements by nomadic herders,” says Jokomina Celso, a women’s representative in Lowoi.
Jokomina was speaking to a visiting patrol of UNMISS peacekeepers. “Many herders also wanted to forcefully marry women from our local communities in a bid to settle here,” she continues.
Lowoi lies approximately 45 kilometres west of Torit town in Eastern Equatoria. Farming communities here are still reeling from a series of conflicts with cattle herders who arrived in the area a few months ago.
“Even after a government directive ordering them to leave, these settlers refused to budge. The tipping point for us who are permanent residents here was when children were abducted,” reveals Augustino Atinatio, a youth representative. “We were frustrated and temporarily took matters into our own hands to try and expel them from our lands.”",No,3. A summary of different situations,,,,,,test
A2,GDELT,1128413507,20230921,Somalia,,SOMALIA,https://www.voanews.com/a/somali-pm-optimistic-about-winning-stronger-international-support-against-al-shabab/7278245.html,"Somali Prime Minister Hamza Abdi Barre said Thursday that his government is appealing for more international support in its long-running war against al-Shahab militants.
In an exclusive interview with VOA, Barre says he will appeal to the U.N. General Assembly this weekend about removing an international arms embargo so Somalia is capable of eliminating al-Shabab, a U.N. and U.S.-designated terrorist organization that has fought the Somali government for 16 years.
Barre said Somalia’s first priority is security, which he said cannot be fully achieved without a well-trained and well-equipped Somali national army.
“We need and would implore the world community for a complete lifting of the arms embargo that has been imposed on Somalia since 1992,"" he said. ""By doing so, our security forces would be able to take full control and responsibility of the country’s security.”
The embargo was imposed during Somalia’s early 1990s civil war.",No,2. Not violence / conflict related,,,,,,train
A2,ACLED,UGA8270,2022-12-02,Uganda,Rioters (Uganda),Civilians (Uganda); Government of Uganda (1986-),,"On 2 December 2022, residents armed with sharp objects demonstrated against poor work quality and stopped the officials of the Ministry of Water and Environment from planting couch grass for controlling erosion in Palam sub county (Katakwi, Eastern). The officials fled when the demonstrators tried to beat them.",Yes,,,,,,X,test
A2,GDELT,946792040,20200909,Sudan,MADI,,https://iafrica.com/conflict-a-cause-for-concern-at-ugandan-camp/,"Uganda has sent security troops to its north-west region where tensions are on the rise following deadly attacks on refugees by local people. More than 10 South Sudanese refugees were killed, including a teenage girl and a 25-year-old woman and her baby, and 19 others were seriously wounded in clashes at a water point in Madi-Okollo district last week. Fifteen homes were burnt to the ground and another 26 are confirmed to have been looted and vandalised. The violence erupted in response to the alleged murder of an 18-year-old Ugandan cattle herder, which local men blamed on the refugees. The UN refugee agency, UNHCR, has called on the Ugandan government to search for about 10 refugees who remain missing. Jean-Christophe Saint-Esteben, of the Danish Refugee Council in Uganda, said the conflict was uncommon: “We do see conflicts in refugee settlements occurring between different ethnic groups of refugees, and between refugees and the Ugandan host community, but actually the majority of conflict occurs within households, as domestic violence, so this tragic incident is definitely unusual.
SOURCE: THE GUARDIAN",Yes,,,,,,X,test
A2,GDELT,1050334593,20220620,Ethiopia,ANTONIO GUTERRES,ETHIOPIA,http://www.china.org.cn/world/Off_the_Wire/2022-06/21/content_78281116.htm,"You are here:
视频播放位置 下载安装Flash播放器
UNITED NATIONS, June 20 (Xinhua) -- UN Secretary-General Antonio Guterres has condemned the weekend massacre of civilians in Ethiopia's Oromia region, his spokesman said on Monday.
""The secretary-general condemns the reported killing of scores of civilians in Oromia this weekend,"" said Stephane Dujarric, chief spokesman for Guterres. ""He reiterates his call for all hostilities to stop and for all actors to ensure the protection of civilians.""
Dujarric said the secretary-general urged the Ethiopian government to take urgent steps toward resolving the conflict in Oromia peacefully.",No,2. Not violence / conflict related,,,,,,test
A2,GDELT,976611622,20210326,Ethiopia,GANG,,https://www.dailymail.co.uk/news/article-9405693/Horrific-gang-rapes-taking-place-Ethiopias-Tigray-region-warns.html,"Women have been gang-raped at gunpoint and men forced to rape their own family members amid a wave of horrifying sexual violence in Ethiopia's Tigray region, the United Nations has been told.
Wafaa Said, aid coordinator in Ethiopia, told member states that more than 500 rape cases have been reported at five medical centres in the northern state - but that the true number is likely to be far higher.
'Women say they have been raped by armed actors, they also told stories of gang rape, rape in front of family members and men being forced to rape their own family members under the threat of violence,' she said.
Women are being gang-raped in front of their families and men are being forced to rape their relatives amid violence in Ethiopia's Tigray region, UN warns (file image)
It is just the latest tale of terror to emerge from Tigray since Ethiopian Prime Minister Abiy Ahmed announced a government offensive against regional leaders in November last year.",No,3. A summary of different situations,,,,,,train
A2,GDELT,1102367952,20230515,Sudan,AUTHORITIES,,https://www.spacewar.com/reports/Blasts_rock_Khartoum_as_warring_sides_affirm_humanitarian_pledge_999.html,"Blasts rock Khartoum as warring sides affirm humanitarian pledge by AFP Staff Writers Khartoum (AFP) May 13, 2023 Air strikes pummelled Khartoum Saturday, with representatives of Sudan's warring factions meeting in Saudi Arabia for talks to prevent a ""humanitarian catastrophe"" as the fighting entered a fifth week. A witness in west Khartoum reported army air strikes on paramilitary forces, as brutal urban warfare continued in Sudan's densely-populated capital.",Yes,,,,,,X,test
A2,GDELT,1020186455,20211221,Sudan,GANG,,https://sudantribune.com/article253211/,"December 21, 2021 (KHARTOUM) – 13 women were allegedly raped by the Sudanese security forces after their arrest during the anti-coup protests on December 19, said the spokesperson for the UN High Commissioner for Human Rights (OHCHR) on Tuesday.
The Darfur Lawyers Association on Monday said had evidence that the security forces raped female protesters after the arrest on Sunday. But did not disclose the number of rape survivors.
“Our Joint Human Rights Office in Sudan has received allegations that 13 women and girls were victims of rape or gang rape,” said Liz Throssell OHCHR Spokesperson.
Throssell added they also received allegations of sexual harassment by security forces against women who were trying to flee the vicinity of the presidential palace after the protest.
The Sudanese government did not react to the allegations made by the Darfur legal group.",Yes,,,,X,,,test
A2,GDELT,1123622284,20230829,Ethiopia,AMHARA,ETHIOPIA,https://www.africanews.com/2023/08/29/ethiopia-at-least-183-dead-in-amhara-clashes-since-july-un/,"At least 183 people have been killed since July in clashes in the Ethiopian state of Amhara, which has been plagued by violence for several weeks, the United Nations announced on Tuesday.
The UN Office of the High Commissioner for Human Rights also expressed ""concern about the human rights situation"" in the country since a state of emergency was declared at the beginning of August, citing reports of ""mass arrests"".
""In the Amhara region, following an upsurge in clashes between the Ethiopian army and the regional Fano militia, and the declaration of a state of emergency on 4 August, the situation has worsened considerably"", Marta Hurtado, spokeswoman for the Office of the United Nations High Commissioner for Human Rights (OHCHR), told reporters in Geneva.
""At least 183 people have been killed in clashes since July, according to information gathered by the Office of the United Nations High Commissioner for Human Rights"", the OHCHR spokeswoman continued.
Amhara, Ethiopia's second most populous state, has been the scene of armed violence since April, triggered by the federal government's desire to disband the Amhara ""special forces"".",Yes,,X,,,,,train
A3,ACLED,SUD11223,2018-05-02,Sudan,Protesters (Sudan); Students (Sudan),Militia (Students); Police Forces of Sudan (1989-2019),,"On 2 May 2018, Islamist students, backed by the police forces, attacked protesting students at the University of the Holy Koran in Omdurman (Um Durman, Khartoum). Students held a sit-in protesting the poor services and university environment. Police used tear gas while Islamist student militias and mujahedeen brought in from other universities in Khartoum beat students evicting them from the university. 14 students were injured.",Yes,,,X,,,,train
A3,ACLED,UGA7062,2021-07-20,Uganda,Rioters (Uganda); Muslim Group (Uganda),,,"On 20 July 2021, a muslim group violently demonstrated against the construction of a mosque in Busia (Eastern), complaining that its size was much smaller than planned. The demonstrators destroyed the mosque foundations, and blocked the construction process.",Yes,,,X,,,,train
A3,GDELT,1113672028,20230608,Sudan,HEALTH MINIST,,https://www.wwlp.com/news/ap-international-news/ap-airstrike-in-sudanese-city-kills-at-least-22-officials-say-amid-fighting-between-rival-generals/,"This is an archived article and the information in the article may be outdated. Please look at the time stamp on the story to see when it was last updated.
CAIRO (AP) — An airstrike in a Sudanese city on Saturday killed at least 22 people, health authorities said, in one of the deadliest air attacks yet in the three months of fighting between the country’s rival generals.
The assault took place in the Dar es Salaam neighborhood in Omdurman, the neighboring city of the capital, Khartoum, according to a brief statement by the health ministry. The attack wounded an unspecified number of people, it said.
The ministry posted video footage that showed dead bodies on the ground with sheets covering them and people trying to pull the dead from the rubble. Others attempted to help the wounded. People could be heard crying.
The attack was one of the deadliest in the fighting in urban areas of the capital and elsewhere in Sudan. The conflict pits the military against a powerful paramilitary group known as the Rapid Support Forces. Last month, an airstrike killed at least 17 people including 5 children in Khartoum.",Yes,,,,,,X,test
A3,GDELT,901975948,20200128,Kenya,STAFF MEMBER,MUSLIM,https://www.mnnonline.org/news/kenyan-christian-teachers-killed-al-shabab-suspected/,"Kenya (MNN) – Al-Shabab is believed to be behind the murder of three Christian school teachers in eastern Kenya. The attack took place in the early hours of January 13th and has rattled the community.
The attackers entered the rooms of the residential school’s staff while they were sleeping, says Greg Musselman of Voice of the Martyrs Canada. One teacher was able to escape via a window and described what occurred.
The local Somali Muslim teachers were separated from non-locals, who were assumed to be Christians and had been attending a local church. The three Christian men were then shot. One additional staff member was injured and a Muslim teacher was abducted. These attackers appeared not to target the female staff.
“One of the attackers reportedly said that ‘we cannot allow infidels to teach our children,’” Musselman says “…They didn’t want the ideology from what they think is the West because they link Christianity with the West. Of course we know that’s not true.”
The names of the three believers killed were not initially released out of fear of retribution, and the school has been closed. Read more here.",Yes,,,X,,,,train
A3,ACLED,KEN8784,2022-05-20,Kenya,Unidentified Armed Group (Kenya),Civilians (Kenya); Muslim Group (Kenya),,"On 20 May 2022, a group of nine unidentified people abducted two men, including a Muslim cleric, in Mariakani (Kinango, Kwale). One man was released, while the cleric is yet to be found.",Yes,,,X,,,,test
A3,ACLED,SOM35668,2021-12-20,Somalia,Habar Gedir-Ayr Sub-Clan Militia (Somalia),Civilians (Somalia); Hawadle Clan Group (Somalia),,"On 20 December 2021, Habar Gedir Ayr sub clan militia shot and killed two people from Hawadle clan group in the vicinity of Banyaaley village (Belet Weyne, Hiraan). The reason behind the killing is related to a previous hostility and clan revenge over grazing land and water resources.",Yes,,X,,,X,,test
A3,GDELT,1141265267,20231119,Sudan,MILITIA,RESIDENTS,https://sudantribune.com/article279523/,"November 19, 2023 (EL GENEINA) – The Rapid Support Forces (RSF) in the town of Kereneik, West Darfur State, have imposed a ban on civilians crossing into neighbouring Chad and have levied hefty fines on those who violate the order.
The decision, issued on November 15, cites the restoration of security and stability in the region as the reason for the ban. Only merchants, patients, and individuals with special needs are permitted to leave after obtaining approval from the regional commander.
West Darfur State, including Kereneik, witnessed widespread violence against civilians following clashes between the Sudanese army and the RSF in April 2023. Arab tribes loyal to the paramilitary forces targeted civilians, perpetrating mass killings.
At the time, the RSF was accused of fuelling the violence after Arab tribal fighters were seen using RSF four-wheel-drive vehicles and wearing their military uniforms.
Mukhtar Hassan, a resident of Kereneik who fled to the border town of Adikong, told Sudan Tribune on Sunday, “After seizing control of the Sudanese army’s garrison in Kereneik, the RSF imposed a complete siege on the remaining residents. They prevented them from travelling to Chad by establishing numerous outposts along the road to the town of Adikong.”",No,2. Not violence / conflict related,,,,,,train
A3,ACLED,SUD14745,2021-01-30,Sudan,Unidentified Armed Group (Sudan),Civilians (Sudan); Women (Sudan); Refugees/IDPs (Sudan),,"On 30 January 2021, two unidentified gunmen raped a 13 year-old female IDP and stabbed her brother in the head whilst they were travelling between Koumi Doki and Turr in Nertiti locality (Central Darfur state).",Yes,,,,X,,,train
A3,GDELT,984472712,20210512,Ethiopia,GANG,,https://www.npr.org/transcripts/995942182,"AILSA CHANG, HOST:
It has been six months since Ethiopia descended into civil war. The conflict has spiraled, pulling in neighboring Eritrea. Few journalists have been able to get there to report on the conflict. But NPR's Eyder Peralta made it into the Tigray region of Ethiopia, and he found an astonishing level of human suffering. He heard horrific stories of sexual violence being used as a weapon of war. And he brings us this report. And just a warning - this story does contain graphic descriptions of violence.
EYDER PERALTA, BYLINE: Here in Mekelle, the signs of war are everywhere. Displaced people gather at churches. Soldiers with big guns guard government offices and strategic positions in what was once the rebel capital. And every school has seemingly become a refugee camp. One of them has become a safehouse for women who have been raped during this war. It used to be a nursery, so the walls are painted with bright cartoon characters. Children once ran through these halls, filling it with laughter, but now it's heavy with misery.
(CROSSTALK)
PERALTA: Senait sits on a bunk bed. Incense is swirling around her. She's lined up pictures of Jesus and the Virgin Mary next to her bed. In January, she says, the fighting broke out in her village. And she and her family fled into the woods. Days later, she and eight other women had to leave their hiding place to forage for food, and that's when they were captured.",No,3. A summary of different situations,,,,,,train
A3,ACLED,SUD17897,2022-07-29,Sudan,Protesters (Sudan),Police Forces of Sudan (2019-),,"On 29 July 2022, demonstrators blocked (through unspecified means) Abo Hamad - Khartoum road in Al Karba [coded to Abu Hamad admin 2 HQ], Abu Hamad locality, River Nile state, demanding the dismissal & trial of Mubarak Ardol, head of the state-owned Sudanese Mineral Resources Co, for allowing toxic/poisonous chemicals to be used in mining practices in River Nile State, and also demanded the expulsion of a Sudanese-Russian company operating in the area due to ongoing problems between the company and residents. Security forces (presumed police) fired tear gas canisters to disperse the crowd and arrested 15 protesters.",Yes,,,,,,X,dev
A3,ACLED,SSD6741,2020-05-09,South Sudan,Military Forces of South Sudan (2011-),Civilians (South Sudan); Pojulu Ethnic Group (South Sudan); Christian Group (South Sudan),,"Around 9 May 2020 (between 4 May - 14 May), SSPDF burned at least 11 villages in Pojulu-inhabited areas of Lainya county (Central Equatoria state), including Lomilikin, Jungu, Rego, Lora, Loka West, Gumbiri, Bereka, Langude, Konkat, Wulkilio, Jomboli and Kembe (all in Kenyi or Lainya payams). 2 civilians were killed in Gumbiri, 1 in Jomboli and 2 in Kembe (fatalities for the latter two spread across two events in Lainya and Kenya); 7 Episcopal church members arrested (with one being tortured at an unspecified location), and 22,000 civilians were displaced.",No,3. A summary of different situations,,,,,,test
A3,GDELT,1028731916,20210217,Ethiopia,FIGHTER,GANG,https://www.jagonews24.com/en/international/news/60409,"Tigrayan fighters killed civilians and gang-raped dozens of women and underage girls in two towns in Ethiopia’s Amhara region last year, Amnesty International has said.
The latest evidence of the toll exacted by the 15-month war emerged on Wednesday as the rights watchdog said it interviewed 30 rape survivors and other victims of violence. This was to call attention to atrocities in the towns of Chenna and Kobo in August and September after the rebel fighters seized control there.
Sarah Jackson, Amnesty’s deputy regional director for East Africa, the Horn and the Great Lakes, accused Tigrayan forces of showing “an utter disregard for fundamental rules of international humanitarian law”.
“Evidence is mounting of a pattern of Tigrayan forces committing war crimes and possible crimes against humanity in areas under their control in the Amhara region from July 2021 onwards,” Jackson said.
Nearly half the victims of sexual violence said they were gang-raped. Doctors told Amnesty that some survivors had suffered lacerations likely caused by rifle bayonets being inserted into their genitals.",No,3. A summary of different situations,,,,,,dev
A3,ACLED,SUD23879,2023-09-08,Sudan,Rapid Support Forces,Civilians (Sudan); Women (Sudan); Prisoners (Sudan),,"Around 8 September 2023 (as reported), RSF raped a woman and her daughter in an RSF detention center in Khartoum - Al Sahafa (Khartoum, Khartoum).",Yes,,,,X,,,test
A3,GDELT,958343899,20201207,Ethiopia,AMHARA,AFRICA,https://www.dailyherald.com/article/20201114/news/311149992/,"Refugees from the Tigray region of Ethiopia wait to register at the UNCHR center at Hamdayet, Sudan on Saturday, Nov. 14, 2020. Ethiopia's defiant Tigray regional government has fired rockets at two airports in the neighboring Amhara region as a deadly conflict threatens to spread into other parts of Africa's second-most populous country. (AP Photo/Marwan Ali) The Associated Press
NAIROBI, Kenya (AP) - Rockets were fired at Eritrea's capital on Saturday, diplomats said, as the deadly fighting in Ethiopia's northern Tigray region appeared to spill across an international border and bring some of observers' worst fears to life.
At least three rockets appeared to be aimed at the airport in Eritrea's capital, Asmara, hours after the Tigray regional government warned it might attack. It has accused Eritrea of attacking it at the invitation of Ethiopia's federal government since the conflict in northern Ethiopia erupted on Nov. 4.
Eritrea is one of the world's most reclusive countries, and no one on the ground, including the information ministry, could immediately be reached. Details on any deaths or damage were not known. Tigray regional officials did not respond to requests for comment.
Experts have warned that Eritrea, long at bitter odds with the Tigray regional government, or Tigray People's Liberation Front, could be pulled into Ethiopia's growing conflict that has killed untold hundreds of people on each side and sent some 25,000 refugees fleeing into Sudan.",Yes,,,,,,X,dev
A3,GDELT,980161329,20210416,Eritrea;Ethiopia,ARMED MEN,ETHIOPIAN,https://www.defenceweb.co.za/security/human-security/sexual-violence-a-weapon-of-war-in-tigray/,"Sexual violence is used as a weapon of war in Ethiopia’s Tigray, the UN aid chief told the Security Council, prompting the US envoy to challenge the body’s silence, asking: “Do African lives not matter as much as those experiencing conflict in other countries?”
UN official Mark Lowcock said the humanitarian crisis in Tigray deteriorated over the past month with challenges to aid access and people dying of hunger. He said the world body had seen no proof that soldiers from neighbouring Eritrea – accused of massacres and killings in Tigray – withdrawn.
“To be clear: the conflict is not over and things are not improving,” Lowcock said.
US Ambassador to the UN Linda Thomas-Greenfield noted the briefing was the fifth private council meeting since fighting between Ethiopia’s federal government troops and Tigray’s former ruling party began in November, according to diplomats familiar with her remarks.
“The Security Council is unified on Syria, Yemen and even on Burma, where we were able to come together to release a statement,” she said, according to the diplomats. “We are asking the council to reconsider a statement on Ethiopia. … Victims need to know the Security Council cares about this conflict.”",No,3. A summary of different situations,,,,,,dev
A3,ACLED,SUD22419,2023-09-12,Sudan,Rapid Support Forces,Gari Communal Militia (Sudan); Police Forces of Sudan (2019-),,"Around 12 September 2023 (as reported), RSF clashed with Gari communal militia backed by police in Gari (Bahri, Khartoum). 5 Gari militants were killed. Many police were captured by RSF.",Yes,,X,,,,,dev
A3,ACLED,SSD9642,2024-01-04,South Sudan,Unidentified Armed Group (South Sudan),Military Forces of South Sudan (2011-); Labor Group (South Sudan),,"On 4 January 2024, an unidentified group ambushed and shot at African Resources Company's cars along the Bor-Malakal Highway, 16 miles away from Bor Town (location coded to Bor, Jonglei state). The reason for the attack is unknown/not reported. A national security officer escorting the convoy was killed.",Yes,,,,,,X,train
A3,GDELT,1154343715,20240128,South Sudan,DINKA,,https://english.news.cn/africa/20240129/8c56b125bb904a8aa93ca9dd91b7740e/c.html,"JUBA, Jan. 28 (Xinhua) -- At least 42 people were killed including a UN peacekeeper during clashes Saturday in the Abyei Administrative Area between armed youth of the Twic community of neighboring Warrap state and Ngok Dinka of Abyei, officials confirmed Sunday.
Rou Manyiel Rou, the secretary general of Abyei Special Administrative Area, said that the attacks in Nyinkuac, Majbong, and Khadian areas by armed youth from the Twic community in collaboration with Nuer youth loyal to their spiritual leader Gai Machiek also left 35 people wounded.
""As we face these barbaric coordinated attacks, the government of Abyei Special Administrative Area condemns in the strongest terms possible the attempt by Twic and their allied armed youth to defy the presidential order issued recently by President Salva Kiir to end the conflict between Ngok Dinka and Twic communities,"" Manyiel told Xinhua in an interview.
President Kiir's order issued on Jan. 18 called on security forces to expel from Warrap state the Nuer spiritual leader Gai Machiek and his loyal Nuer youth in a bid to resolve the conflict between Ngok Dinka and the Twic communities. The order also called on security forces to summon and arrest politicians from both warring communities who appeared to incite violence between the two communities.
Manyiel called for the speedy deployment of neutral security forces along the border between Twic County and the Abyei Administrative Area.",Yes,,X,,,,,dev
A3,ACLED,SUD12169,2019-03-13,Sudan,Military Forces of Sudan (1989-2019) Rapid Support Forces,Civilians (Sudan); Women (Sudan),,"During the week beginning March 11th, four women (at least one of whom was a young teenager) were abducted at gunpoint by 'militiamen' (coded as RSF) in the vicinity of Sananat near Kutum (North Dafur, approximate coordinates for Masri used). The attackers repeatedly raped three of the victims, and beat another (who was 14 years old).",Yes,,,,X,,,test
